id,deskripsimasalah,kelas
11,"kawan lamaku memiliki teman rumah yang mengalami gangguan makan. dia sebut hal ini  terjadi bermula ketika ia mengikuti kegiatan dari kantornya, ia lemas, muntah, dan tidak nafsu karena makanan yang disajikan tidak bersih. aku menyarankan untuk mulai makan ringan terlebih dahulu sebelum makan makanan berat dan konsultasi ke dokter jika tidak ada perubahan.Cara ini cukup berhasil untuk membantu temannya","Gangguan makan"
12,"salah satu teman kakakku mengalami permasalahan gangguan pascatrauma. Hal ini terjadi setelah ia mengalami insiden kecelakaan yang dia alami, aku menyarankan untuk berkonsultasi ke dokter dan mencari hobi untuk mengisi waktu luangnya. Kondisi dia sudah lebih baik saat ini","Gangguan pascatrauma"
13,"salah satu kawanku mengalami sulit fokus atau mengidap ADHD. dia cukup gelisah dengan hal itu. oleh karena itu aku menyarankannya untuk selalu latihan fokus meskipun hanya sebentar","ADHD"
14,"seorang yang sudah berumur pernah curhat kepadaku tentang anaknya, dia merasa depresi akan hal itu. banyak sekali hal yang ia pikirkan mulai dari dana pendidikan, biaya hidup, kesehatan dan keselamatan. Aku memberinya nasihat agar selalu bekerja keras dan selalu berdoa kepada Tuhan","Depresi"
15,"Adik temanku mengidap skizofrenia, skizofrenia adalah penyakit yang tidak diketahui penyebabnya, ahli mengatakan kombinasi genetika, lingkungan, serta struktur dan senyawa kimia pada otak yang berubah mungkin berperan atas terjadinya gangguan.aku terkadang kasihan padanya dia masih belia. dia pribadi yang menyenangkan dan penuh semangat , seringkali aku menghibur dirinya","Skizofrenia"
16,"anak teman orang tuaku mengalami gangguan makan. dia sulit sekali makan sayuran. aku memberitahu orang tuanya untuk mengganti sayuran dengan permen atau vitamin yang mengandung manfaat seperti sayuran","Gangguan makan"
17,"teman ayahku mengalami permasalahan gangguan pascatrauma. Hal ini terjadi setelah ia melihat mengalami insiden kecelakaan yang dialami rekan kerjanya, aku menyarankan untuk berkonsultasi ke dokter dan mencari hobi untuk mengisi waktu luangnya. Kondisi dia sudah lebih baik saat ini","Gangguan pascatrauma"
18,"salah satu kawanku mengalami sulit fokus atau mengidap ADHD. dia cukup gelisah dengan hal itu. oleh karena itu aku menyarankannya untuk selalu latihan fokus meskipun hanya sebentar","ADHD"
19,"seorang wanita paruh baya pernah curhat kepadaku tentang anaknya, dia merasa depresi akan hal itu. banyak sekali tanggungang yang ia pikirkan mulai dari dana pendidikan, biaya hidup, kesehatan dan keselamatan. itu berat bagi dia sebagai single parent. Aku memberinya nasihat agar selalu bekerja keras demi anaknya dan selalu berdoa kepada Tuhan","Depresi"
20,"kakaku temanku mengalami skizofrenia ringan, skizofrenia adalah penyakit yang tidak diketahui penyebabnya.aku terkadang kasihan padanya. dia pribadi yang baik , seringkali dia mengajariku ketika belajar bareng bersama adiknya di rumahnya","Skizofrenia"
